	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
0	2.539913	1.1150482	0.0	1.0561423	0.0	1.7327307	1.6629612	0.0	1.530616	0.0	1.7908664	1.9653182	1.7435403	1.3652716	0.0	0.0	0.0	0.0	0.0	0.0	1.4152517	0.0	0.0	1.5522962	0.0	0.0	0.0	0.0
1	2.1182492	1.1497679	0.0	0.26342416	0.0	1.7618642	2.2260318	0.0	1.8028917	0.0	1.4636164	1.6113596	1.7408547	1.1619854	0.0	0.0	0.0	0.0	0.4258474	0.0	1.7685764	0.0	0.0	1.3978703	0.0	0.0	0.0	0.0
2	0.0	1.2336833	0.0	1.9235592	0.0	1.8549185	1.8852706	0.0	1.8869965	0.0	1.5525862	1.7093694	2.0531058	0.13968587	0.0	0.0	0.0	0.0	1.8041569	0.0	1.8033366	0.0	0.0	1.3771029	0.0	0.0	0.0	0.105547905
3	0.6211319	0.6150824	0.0	1.0559871	0.0	1.4877198	2.065875	0.0	1.8062173	0.0	2.312707	1.4397589	1.8475007	1.2123344	0.0	0.0	0.0	0.0	1.8209906	0.0	1.3303733	0.0	0.0	1.8639258	0.0	0.0	0.0	1.3397661
4	1.1476905	1.6621535	0.0	2.4539142	0.0	1.0874976	1.7544727	0.0	1.5439446	0.0	1.5687113	1.7268529	1.5086732	3.6525595	0.0	0.0	0.0	0.0	0.15485239	0.0	1.8697286	0.0	0.0	1.8208857	0.0	0.0	0.0	0.0
5	1.6820074	0.87196434	0.0	0.061791718	0.0	1.5751641	1.07971	0.0	1.8582647	0.0	1.0590823	1.7682999	1.7958915	1.4603729	0.0	0.0	0.0	0.0	0.0	0.0	1.4959071	0.0	0.0	1.2274585	0.0	0.0	0.0	0.0
6	0.020662308	1.694098	0.0	1.2896624	0.0	1.6867454	1.7990794	0.0	1.497488	0.0	1.7167219	1.6214942	1.5653857	0.2964791	0.0	0.0	0.0	0.0	0.0	0.0	1.5185237	0.0	0.0	1.5413309	0.0	0.0	0.0	0.0
7	0.85786206	1.3394761	0.0	0.8859704	0.0	1.7695265	1.4181738	0.0	1.6389039	0.0	1.0810862	1.8454788	1.53014	0.0	0.0	0.61067235	0.0	0.0	0.0	0.0	1.664272	0.0	0.0	1.5479689	0.0	0.0	0.0	0.0
8	0.6968146	1.9404964	0.0	0.8665871	0.0	1.5894369	1.6747324	0.0	1.3800497	0.0	1.1129647	1.5927086	1.4433143	1.1915956	0.0	0.10267651	0.0	0.0	0.0	0.0	1.1946778	0.0	0.0	1.6612427	0.0	0.0	0.0	0.0
9	1.562717	2.2458897	0.0	1.3464301	0.0	1.5395875	1.5092432	0.0	1.5292668	0.0	0.90005267	1.6486803	1.1998618	2.485404	0.0	0.0	0.0	0.0	0.0	0.0	1.7443881	0.0	0.0	1.6954043	0.0	0.0	0.0	0.0
