	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
0	8.294109	0.90011084	7.803837	0.0	0.97661173	0.0	0.0	0.0	4.7069244	7.350399	4.6039023	0.0	1.3872756	0.0	9.029312	0.0	6.5771074	3.593468	0.0	7.3220673	0.0	0.0	2.392452	0.2465868	0.0	4.237962	0.0	0.0	0.0	0.0	0.0	0.0	0.72434855	0.39086503	0.0	0.0	7.5625877	1.6881417	1.8648283	5.158943	0.0	4.3132133	0.0	10.394105	0.0	6.013931	6.0251007	2.3726373	7.6373453	1.8791754	9.213782	0.0	0.0	4.516307	0.0	0.0	0.0	6.7307706	5.759407	4.3761854	1.3867339	0.69358987	7.4697447	2.197034	2.2572544	4.373788	0.0	3.0229502	0.0	4.3481197	6.4645157	7.3850136	7.4832587	1.9708126	4.379652	4.891391	0.0	0.0	7.008259	0.0	0.0	0.021690667	6.6453195	4.3255925	0.0	0.0	0.0	0.0	0.0	1.4423068	0.0	0.37299132	0.98105544	0.0	10.37666	0.0	0.0	0.0	0.0	0.0
1	5.5833845	2.0362124	9.274964	0.0	0.0	0.0	0.21135098	0.0	3.628347	4.726947	4.4806304	0.0	0.0	0.0	3.902752	0.0	5.390418	1.2551551	0.0	3.9948637	0.0	0.0	1.9667113	0.18348315	0.0	2.5020647	0.06698991	0.213534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2458477	1.5468441	1.8298991	3.3883102	0.0	1.425456	0.0	5.801502	0.0	2.8532968	3.2532158	6.2191105	4.3027945	0.0	6.9069204	0.0	0.0	4.777473	0.0	0.0	0.0	2.1925244	3.625496	3.2189753	3.0759578	2.000353	4.2897463	0.787992	1.4136707	3.5036852	0.0	0.65117717	0.0	4.713387	2.8884456	5.8931446	3.2598944	2.0700796	4.5186014	0.0	0.0	0.0	4.0177984	0.0	0.0	2.8772674	5.4879107	1.3441223	0.0	0.0	0.0	0.0	0.0	1.0407772	0.0	2.1822186	0.0	0.0	8.044165	0.0	0.0	0.0	0.0	0.0
2	3.8087175	1.5011075	6.7817774	0.0	0.747161	0.0	0.06736165	0.0	4.0849824	4.534049	3.0899715	0.0	3.5149355	0.0	4.5064	0.0	6.3825607	0.9653778	0.0	4.6043787	0.0	0.0	2.7954433	0.5333772	0.0	2.9828134	0.0	1.3498249	0.0	0.0	0.0	0.0	0.2401075	0.0	0.0	0.0	4.95767	2.1509109	1.3943343	4.075141	0.0	0.7376643	0.0	6.1610155	0.0	2.9107032	3.6185312	5.816551	4.2720823	0.0	6.3305025	0.0	0.0	2.9088392	0.0	0.10952729	0.0	3.439392	3.0381446	3.4553926	4.188672	0.0	4.1435776	2.0587106	0.78087056	3.8693388	0.0	3.8830166	0.0	4.1560736	2.541837	6.648265	3.0152254	1.8369386	4.3813715	2.3085768	0.0	0.0	4.7002935	0.0	0.0	0.0	4.226896	1.854971	0.0	0.0	0.0	0.0	0.0	0.54195404	0.0	0.46299928	0.0	0.0	6.3788643	0.0	0.0	0.0	0.0	0.0
3	3.7207205	5.333823	9.147733	0.0	2.01569	0.0	0.0	0.0	4.207536	6.201063	7.4344435	0.0	0.0323292	0.0	4.899924	0.0	6.933957	1.4711564	0.0	1.7846334	0.0	0.0	2.189168	1.5852268	0.0	2.1581059	0.05402279	0.818512	0.0	0.0	0.0	0.55503774	0.0	0.0	0.0	0.0	5.824993	3.7495947	0.0	5.2192335	0.0	2.0578613	0.0	5.399909	1.0468572	3.131662	5.744252	7.7779274	5.8255024	0.0	4.4943924	0.0	0.0	3.8036108	1.1580371	0.0	0.0	4.7313976	5.1248446	2.2590163	3.9532228	0.51807344	3.698394	1.112576	0.9789688	4.3716707	0.0	0.0	0.0	3.5571594	0.7853112	8.728334	4.034548	3.6467845	3.8306415	0.0	0.0	0.0	5.01029	0.0	0.0	0.0	4.581836	0.59037006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6318889	1.747289	0.0	5.7476187	0.0	0.0	0.0	0.8770305	0.0
4	4.061137	2.1000803	6.8237467	0.0	0.0	0.0	1.0274429	0.0	3.2119598	5.53625	4.475085	0.0	2.1575685	0.0	2.7671008	0.0	3.5490775	0.4610455	0.0	4.278825	0.0	0.0	0.49488956	4.1439114	0.0	1.6889539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17415941	0.0	4.4438415	1.4580466	1.1702757	4.0225267	0.0	0.0	0.0	5.820016	2.8263984	2.1536183	2.6713352	6.012624	2.6834939	0.0	5.193943	0.0	0.0	4.6362915	0.0	0.0	0.0	4.922762	2.231451	3.4830716	1.94127	2.623649	3.646262	4.1224527	0.89436835	0.91399765	0.0	1.6050689	0.0	4.093127	1.7546475	7.5288277	2.9774075	4.498458	3.6844308	1.4211524	0.8918755	0.0	3.4441059	0.0	0.0	0.0	4.9571815	3.3651438	0.09004587	0.0	0.0	0.0	0.0	0.66860986	0.0	1.0742263	0.0	0.0	5.6719522	0.0	0.0	0.0	0.0	0.0
5	6.090396	0.0	7.5184584	0.0	0.0	0.0	0.0	0.0	4.589783	7.682106	4.632858	0.0	0.0	0.0	7.1252313	0.0	3.0390596	1.0691891	0.0	7.224597	2.0963962	0.0	2.7108765	0.0	0.0	5.070645	0.0	2.044188	0.0	0.0	0.0	0.0	0.0	1.0264019	0.0	0.0	4.7768946	4.6700683	2.9475524	6.0053005	0.0	1.0869424	0.09811425	6.6730757	0.0	4.7433376	6.70331	2.402783	4.5356693	2.5446696	6.7691593	0.0	0.0	3.4004269	0.4759491	0.0	0.0	0.711216	3.5640197	2.5943768	6.6754336	0.0	4.5779877	5.0015516	1.7238384	0.0	1.0627218	1.4679534	0.0	1.5159788	4.3035164	7.772559	3.3597069	4.6788635	4.9843035	2.1343346	0.0	0.0	5.064475	0.0	0.0	0.0	4.869345	1.0203265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3010782	0.6637076	0.0	7.2677813	0.0	0.0	0.0	0.0	0.0
6	7.295768	0.48934925	7.821478	0.0	0.0	0.0	3.0895607	0.0	8.079031	7.450348	6.479808	0.0	0.3900624	0.0	5.79316	0.0	7.7177725	0.0	0.0	6.38918	2.2581954	0.0	1.9694271	0.0	0.0	5.3912206	3.1464255	3.8361678	0.0	0.0	0.0	0.0	0.46063384	1.66882	0.0	0.0	7.992159	5.4716473	3.6599786	7.770814	0.0	1.2671099	0.0	8.384334	1.7923526	5.080896	6.4438353	4.011121	6.0526686	0.43080717	8.228554	0.0	0.0	6.1233535	0.0	0.0	0.0	3.473617	7.531995	2.5496576	3.7796674	0.6881718	4.8935823	3.3737535	0.0	1.5854905	0.0	2.9844227	0.0	1.7408285	4.8123894	7.6615896	2.5340137	3.672116	6.0722885	0.76853484	0.0	0.0	8.022543	0.0	0.0	1.1057554	7.6460795	3.770123	0.0	0.0	0.0	0.0	0.0	3.5569246	0.0	1.356244	0.0	0.0	5.6874256	0.0	0.0	0.0	0.0	0.0
7	6.1816597	0.7177261	6.264575	0.0	0.0	0.0	2.7294493	0.0	5.268172	5.836972	6.1705713	0.0	0.0	0.0	5.0802617	0.0	6.1463804	2.1062622	0.0	4.669301	1.6179514	0.0	1.9293475	0.0	0.0	4.753981	4.744165	3.1621373	0.0	0.0	0.0	0.0	0.0	0.7395101	0.0	0.0	4.4637065	4.3190107	2.9028497	5.1310062	0.0	3.1019213	0.0	7.1808395	0.8585272	5.3180385	7.0008984	4.8719363	5.1437626	1.8638799	6.6123066	0.0	0.0	5.694116	0.0	0.04842174	0.0	3.0524082	6.241785	1.6850984	4.8546534	0.0	4.211334	4.3535175	0.0	1.0297642	0.0	1.439435	0.0	1.1936421	3.3407953	3.976987	2.05343	2.792333	3.224169	0.0	0.0	0.0	6.825408	0.0	0.0	1.7283695	5.2259326	2.5136647	0.0	0.0	0.0	0.0	0.0	1.1089495	0.0	1.63593	0.0	0.0	5.4394436	0.0	0.0	0.0	0.0	0.0
8	6.672349	0.8480816	3.7234793	0.0	1.3426545	0.0	3.352695	0.9161832	4.588042	5.271035	6.534754	0.0	0.0	0.0	5.077172	0.0	4.2394614	0.34014165	0.22807956	6.064501	3.4797776	0.0	0.0	0.0	0.0	4.8597693	1.9472616	3.5773387	0.0	0.0	0.0	1.54825	0.0	0.0	0.0	0.0	3.8019495	3.6054792	2.9421353	6.5065317	0.0	2.2020288	0.0	8.870869	0.45943797	4.167036	7.612521	3.9604392	5.4418707	0.0	5.3922043	0.0	0.0	3.3554072	0.0	0.0	0.5098325	1.6930294	5.699993	0.18066025	4.0312324	0.0	2.7013338	6.2168365	0.895737	1.6401746	1.4113817	0.0	0.0	2.2243848	1.8087218	2.569203	3.0956492	3.6904075	4.9923973	1.37781	0.0	0.0	6.5030165	0.0	0.0	0.0	6.393316	3.6059046	0.0	0.0	0.0	0.0	0.0	4.178588	0.0	0.0	1.5194774	0.0	3.8174696	0.0	0.0	0.0	0.0	0.0
9	5.8863554	2.5433865	7.8569736	0.0	0.0	0.0	2.5863342	0.0	7.6693244	4.3937984	5.979314	0.0	2.8168073	0.0	5.1095624	0.0	4.585946	0.25063276	0.0	5.925212	0.24098781	0.0	2.013492	0.0	0.0	2.0540848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4307601	0.0	0.0	3.068438	2.1371222	0.0	3.3764932	0.0	0.0	0.0	6.9249353	2.4897776	5.805207	4.3478312	3.2469087	3.2206657	0.8018684	7.621911	0.0	0.0	7.3488145	0.0	1.2576354	0.0	3.2089891	3.5597053	5.2689705	1.882167	0.5665624	6.776474	2.7397733	0.0	2.7569907	0.0	3.7753167	0.0	5.3151298	4.7093916	6.5783253	1.0083419	0.6063969	2.1835353	0.8612078	0.29972288	0.0	5.1743135	0.0	0.0	0.0	8.07712	4.6222773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8627024	0.0	0.0	0.0	0.0	0.0
