dataset_id,num_comp,data_type,algorithm,reconstruction_cost
GEO,2,Training,PCA,130.10410699559088
GEO,2,Testing,PCA,42.42498535806109
GEO,3,Training,PCA,126.01611398320489
GEO,3,Testing,PCA,40.66667990497152
GEO,4,Training,PCA,122.48921787342026
GEO,4,Testing,PCA,39.707160873066115
GEO,5,Training,PCA,119.9536777344653
GEO,5,Testing,PCA,38.34928097484384
GEO,6,Training,PCA,117.44095374444744
GEO,6,Testing,PCA,37.481082336986454
GEO,7,Training,PCA,115.1269060036864
GEO,7,Testing,PCA,36.59019729591144
GEO,8,Training,PCA,112.90031363193044
GEO,8,Testing,PCA,36.125054532234316
GEO,9,Training,PCA,110.7817571706959
GEO,9,Testing,PCA,35.892819836358
GEO,10,Training,PCA,108.88101076848231
GEO,10,Testing,PCA,35.61438341730981
GEO,12,Training,PCA,105.55111668290505
GEO,12,Testing,PCA,34.85954513774142
GEO,14,Training,PCA,102.37588195958729
GEO,14,Testing,PCA,34.32112223499431
GEO,16,Training,PCA,99.51104657484872
GEO,16,Testing,PCA,33.970088494027095
GEO,18,Training,PCA,97.04507099724168
GEO,18,Testing,PCA,33.52623241685028
GEO,20,Training,PCA,94.74819067024895
GEO,20,Testing,PCA,33.14024910821126
GEO,25,Training,PCA,89.312608273809
GEO,25,Testing,PCA,32.464630409217555
GEO,30,Training,PCA,84.31536173928191
GEO,30,Testing,PCA,31.759256159743273
GEO,35,Training,PCA,79.79769828361881
GEO,35,Testing,PCA,31.327887573870125
GEO,40,Training,PCA,75.57571504120558
GEO,40,Testing,PCA,30.90480753811624
GEO,45,Training,PCA,71.49930407938012
GEO,45,Testing,PCA,30.497768411330558
GEO,50,Training,PCA,67.60837241211114
GEO,50,Testing,PCA,30.220712202234083
GEO,60,Training,PCA,60.16107658668264
GEO,60,Testing,PCA,29.611637854396065
GEO,78,Training,PCA,47.61724952363443
GEO,78,Testing,PCA,28.424072540229236
GEO,80,Training,PCA,46.383774826842384
GEO,80,Testing,PCA,28.447347180233358
GEO,90,Training,PCA,39.651816837812866
GEO,90,Testing,PCA,27.827424436882858
GEO,100,Training,PCA,33.239450008606745
GEO,100,Testing,PCA,27.228392740582304
GEO,125,Training,PCA,18.009435674155533
GEO,125,Testing,PCA,25.816689252122416
GEO,150,Training,PCA,3.7747113972949307
GEO,150,Testing,PCA,24.54058711338024
